SKU,SIZE,NAME,SOLD_AT,SOLD_PRICE,CONDITION,SOURCE,GENDER,BRAND,SILHOUETTE,COLORWAY,RETAILPRICE,RELEASEDATE,IS_COLLAB,COLLABORATOR,COLOR,SIZE_VALUE,IS_WIDE,IS_UK,IS_EU
CV3469-001,13,Nike Kobe 4 Protro Wizenard,2021-05-10T17:05:39Z,647,is_new,stockx,men,Nike,Zoom Kobe 4,Multi-Color/Black-Volt,175,01-12-2019,TRUE,kobe bryant,black,13,FALSE,FALSE,FALSE
M992BB,5,New Balance 992 Yellow Grey,2021-05-10T17:05:53Z,188,is_new,stockx,men,New Balance,992,Yellow/Grey,175,01-06-2020,FALSE,None,yellow,5,FALSE,FALSE,FALSE
AO4568-800,9.5,Nike ZoomX Vaporfly Next% Bright Mango,2021-05-10T17:05:55Z,235,is_new,stockx,men,Nike,ZoomX Vaporfly NEXT%,Bright Mango/Citron Pulse-Black-Blackened Blue,250,17-09-2020,FALSE,None,blue,9.5,FALSE,FALSE,FALSE
B41792,9,adidas Tennis Hu Pharrell Running White Chalk White,2021-05-10T17:06:00Z,98,is_new,stockx,men,adidas,Tennis Hu,Running White/Running White/Chalk White,110,01-01-2019,FALSE,None,white,9,FALSE,FALSE,FALSE
FW4313,10,adidas Ultra Boost DNA Chinese New Year White (2020),2021-05-10T17:06:02Z,178,is_new,stockx,men,adidas,UltraBoost,Crayon White/Crayon White/Gold Metallic,180,23-01-2019,FALSE,None,white,10,FALSE,FALSE,FALSE
555088-602,12,Jordan 1 Retro High Spider Man Origin Story (Special Box),2021-05-10T17:06:13Z,719,is_new,stockx,men,Jordan,Air Jordan 1,Gym Red/Black-White-Photo Blue,160,01-12-2018,FALSE,None,red,12,FALSE,FALSE,FALSE
CJ0952-100,6.5,Nike Air Force 1 Low White Black (2020),2021-05-10T17:06:20Z,161,is_new,stockx,men,Nike,Air Force 1,White/Black,90,01-01-2020,FALSE,None,white,6.5,FALSE,FALSE,FALSE
CD0461-401,9W,Jordan 1 Retro High UNC Patent (Women's),2021-05-10T17:06:29Z,519,is_new,stockx,women,Jordan,Air Jordan 1,Obsidian/Blue Chill-White,160,14-02-2019,FALSE,None,blue,9,FALSE,FALSE,FALSE
CU9225-001,12,Nike Air Force 1 Low Supreme Black,2021-05-10T17:06:30Z,165,is_new,stockx,men,Nike,Air Force 1,Black/Black-Black,96,05-03-2020,TRUE,supreme,black,12,FALSE,FALSE,FALSE
DD1870-100,10.5,Nike Air Max 1 CLOT Kiss of Death (2021),2021-05-10T17:06:38Z,168,is_new,stockx,men,Nike,Air Max 1,Net/Deep Red-Orange Blaze,150,27-03-2021,TRUE,clot,red,10.5,FALSE,FALSE,FALSE
705178-601,11,Jordan 10 Retro Bulls Over Broadway,2021-05-10T17:06:41Z,270,is_new,stockx,men,Jordan,Air Jordan 10,Gym Red/Black-Wolf Grey,190,14-02-2015,FALSE,None,red,11,FALSE,FALSE,FALSE
CJ6897-113,10,Nike React Element 87 Orange Peel,2021-05-10T17:06:54Z,162,is_new,stockx,men,Nike,React Element 87,Pale Ivory/Orange Peel,160,27-04-2019,FALSE,None,orange,10,FALSE,FALSE,FALSE
553560-124,6Y,Jordan 1 Low Game Royal (GS),2021-05-10T17:06:56Z,245,is_new,stockx,child,Jordan,Air Jordan 1,White/Game Royal-Black,75,24-07-2020,FALSE,None,blue,6,FALSE,FALSE,FALSE
CU0449-100,12,Jordan 1 Retro High Tie Dye (PS),2021-05-10T17:06:59Z,92,is_new,stockx,preschool,Jordan,Air Jordan 1,White/Black-Aurora Green,80,11-06-2020,FALSE,None,green,12,FALSE,FALSE,FALSE
M1300AD,7.5,New Balance 1300 Aime Leon Dore Pink,2021-05-10T17:07:00Z,171,is_new,stockx,men,New Balance,1300,Pink/Navy,180,28-05-2021,TRUE,aime leon dore,pink,7.5,FALSE,FALSE,FALSE
CZ0339-001,12,Nike Air Force 1 Low Paint Splatter,2021-05-10T17:07:10Z,145,is_new,stockx,men,Nike,Air Force 1,Light Bone/Black-Sail,110,27-03-2021,FALSE,None,white,12,FALSE,FALSE,FALSE
DA4155-400,9.5,Nike Air Max 720 OBJ Slip University Blue,2021-05-10T17:07:13Z,134,is_new,stockx,men,Nike,Air Max 720,University Blue/Black-Industrial Blue,200,01-04-2020,FALSE,None,blue,9.5,FALSE,FALSE,FALSE
CI1521-100,11,Nike LeBron 16 White Hot Lava,2021-05-10T17:07:28Z,128,is_new,stockx,men,Nike,LeBron 16,White/Hot Lava-Flat Silver,200,24-05-2019,FALSE,None,white,11,FALSE,FALSE,FALSE
CU1816-100,10.5,Nike Air Max 90 NRG Bacon (2021),2021-05-10T17:07:51Z,168,is_new,stockx,men,Nike,Air Max 90,Sail-Sheen-Straw-Medium Brown,140,26-03-2021,FALSE,None,brown,10.5,FALSE,FALSE,FALSE
553558-128,8,Jordan 1 Low Shattered Backboard,2021-05-10T17:07:57Z,221,is_new,stockx,men,Jordan,Air Jordan 1,Orange/White/Black,130,26-08-2021,FALSE,None,orange,8,FALSE,FALSE,FALSE
169910C,7,Converse Chuck Taylor All-Star 70 Hi Golf Wang Tripanel,2021-05-10T17:08:05Z,188,is_new,stockx,men,Converse,Chuck 70,Blue/Yellow-Red,110,14-09-2020,TRUE,alexander wang,blue,7,FALSE,FALSE,FALSE
B39254,8,adidas Ultra Boost 1.0 Reigning Champ,2021-05-10T17:08:08Z,230,is_new,stockx,men,adidas,UltraBoost,Core Black/White,180,29-11-2016,FALSE,None,black,8,FALSE,FALSE,FALSE
824371-201,8,Jordan 5 Retro Supreme Desert Camo,2021-05-10T17:08:16Z,650,is_new,stockx,men,Jordan,Air Jordan 5,Desert Camo/Fire Red-Black,198,16-10-2015,TRUE,supreme,red,8,FALSE,FALSE,FALSE
401812-140,2,Jordan 9 Retro University Blue (TD),2021-05-10T17:08:21Z,76,is_new,stockx,toddler,Jordan,Air Jordan 9,White/University Blue-Black,60,05-12-2020,FALSE,None,white,2,FALSE,FALSE,FALSE
CU1646-400/CW7603-400,8.5,Nike Air Max 90 Denham,2021-05-10T17:08:32Z,120,is_new,stockx,men,Nike,Nike Air Max 90,Denim/Medium Denim-Infrared-Ecru,160,25-09-2020,FALSE,None,grey,8.5,FALSE,FALSE,FALSE
315122-111/CW2288-111,11,Nike Air Force 1 Low '07 White,2021-05-10T17:08:52Z,139,is_new,stockx,men,Nike,Nike Air Force 1 Low '07,White/White,110,24-11-2007,FALSE,None,white,11,FALSE,FALSE,FALSE
315122-111/CW2288-111,9,Nike Air Force 1 Low '07 White,2021-05-10T17:08:57Z,98,is_new,stockx,men,Nike,Nike Air Force 1 Low '07,White/White,110,24-11-2007,FALSE,None,white,9,FALSE,FALSE,FALSE
CM7823,10,adidas AW BBall Alexander Wang Black,2021-05-10T17:09:01Z,400,is_new,stockx,men,adidas,AW Bball,Core Black/Running White,260,01-04-2017,TRUE,None,black,10,FALSE,FALSE,FALSE
AQ3816-065,11.5,Jordan 4 Retro Raptors (2018),2021-05-10T17:09:10Z,480,is_new,stockx,men,Jordan,Air Jordan 4,Black/Court Purple-University Red,200,18-08-2018,FALSE,None,black,11.5,FALSE,FALSE,FALSE
CV1754-100,10,Nike Air Force 1 Low Experimental Sail,2021-05-10T17:09:21Z,211,is_new,stockx,men,Nike,Air Force 1,Sail/White/Atomic Orange,110,01-03-2021,FALSE,None,white,10,FALSE,FALSE,FALSE
